,CB_ID,CSR_Num,DateCreate,Block,Lot,status,servicerequestnum,srstatus,createddate
580,C1783454-1,19-00489370,2019-05-23 14:42:00,3347F,041,PENDING,,,
619,C658549-13,19-00488812,2019-05-29 15:26:00,0221,052,PENDING,,,
626,C1733524-1,19-00488656,2019-05-30 07:24:00,7800,016,PENDING,,,
627,C1733523-1,19-00488653,2019-05-30 07:26:00,7800,015,PENDING,,,
641,C845060-6,19-00488269,2019-05-31 10:01:00,8186,017,PENDING,,,
642,C845059-9,19-00488267,2019-05-31 10:08:00,8186,018,PENDING,,,
643,C1091953-1,19-00478184,2019-05-31 14:51:00,0719A,081,PENDING,,,
644,C1660394-4,19-00488195,2019-05-31 14:56:00,0719A,092,PENDING,,,
645,C845057-7,19-00488189,2019-05-31 15:08:00,8186,019A,PENDING,,,
657,C1594727-2,19-00487733,2019-06-04 16:16:00,7612N,010,PENDING,,,
668,C359708-9,19-00487375,2019-06-06 16:08:00,2178,030B,PENDING,,,
673,C1037376-5,19-00477973,2019-06-07 12:59:00,7187,002,PENDING,,,
674,C1082188-5,19-00478163,2019-06-07 13:02:00,7223,016,PENDING,,,
675,C1663046-2,19-00487221,2019-06-07 13:08:00,7200,001,PENDING,,,
680,C1783036-1,19-00487048,2019-06-10 09:35:00,2445,030,PENDING,,,
681,C1472372-4,19-00487018,2019-06-10 14:09:00,2299A,036,PENDING,,,
683,C1400130-1,19-00486995,2019-06-10 15:12:00,2299B,034,PENDING,,,
743,C1733522-1,19-00482889,2019-06-19 15:00:00,7800,014,PENDING,,,
767,C1782450-1,19-00481781,2019-06-21 15:07:00,2485,033,PENDING,,,
783,C198658-17,19-00480855,2019-06-25 16:14:00,8146,094,PENDING,,,
874,C982890-9,19-00479533,2019-07-11 09:03:00,2506A,055,PENDING,,,
898,C1241646-4,19-00478511,2019-07-16 14:09:00,2487,085,PENDING,,,
905,C342038-25,19-00479014,2019-07-17 12:47:00,2177,077,NEW,,,
906,C505485-20,19-00479013,2019-07-17 12:51:00,2177,076,NEW,,,
907,C1786313-1,19-00478976,2019-07-17 15:35:00,2152,004B,PENDING,,,
908,C570889-12,19-00478974,2019-07-17 15:39:00,0221,051,PENDING,,,
932,C233693-21,19-00477379,2019-07-24 10:01:00,0221,018,NEW,,,
951,C1801714-1,19-00476646,2019-07-26 16:00:00,2530D,048,NEW,,,
1101,C1019296-17,19-00527718,2019-08-27 12:57:00,2454C,001,PENDING,,,
1132,C139675-14,19-00554750,2019-08-30 16:33:00,4624,034,NEW,,,
1151,C1293410-5,19-00555504,2019-09-05 09:29:00,1012,062,PENDING,,,
1239,C1720731-1,19-00596844,2019-09-19 09:55:00,3112,001,PENDING,,,
